,Name,Rating,Number of ratings,Number of reviews,Actual Price,Current Price,Link
0,"Nervfit Absolute 2.1"" Large HD Display, BT Calling, Fitness Tracking Smartwatch  (Black Strap, Unisex)",3.4,39,7,10999.0,1519.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
1,"Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Black Strap, Free Size)",4.2,214900,16064,3995.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
2,"Fire-Boltt Rise BT Calling 47mm (1.85), Voice Assistance & 123 Sports Single BT Connection Smartwatch  (Black Strap, Free Size)",4.0,75914,9406,11999.0,1399.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
3,"boAt Wave Neo Plus with 1.96"" HD Display, BT Calling, boAt Coins & Watch Face Studio Smartwatch  (Active Black Strap, Free Size)",4.0,5016,236,6499.0,1199.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
4,"Fastrack Revoltt FS1+|2.01'' Biggest UltraVU Display|Industry Best 950 Nits|BT Calling Smartwatch  (Black Strap, Free Size)",4.2,30160,1945,5995.0,1399.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
5,"beatXP Vector 1.30'' HD Display, BT Calling with Health Tracking & AI Voice Assistant Smartwatch  (Champagne Gold Strap, Free Size)",3.8,6695,388,5499.0,999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
6,"Noise Crew Pro BT Calling with 1.4"" display, Metal Finish & Functional Crown Smartwatch  (Black Strap, Regular)",4.0,4108,236,6999.0,1299.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
7,"beatXP Marv Neo 1.85'' HD Display Bluetooth Calling, Health Tracking & IP68 Smartwatch  (Rose Gold Strap, Free Size)",4.1,129205,10688,6499.0,999.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
8,"Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Wine Red Strap, Free Size)",4.2,214900,16064,3995.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
9,"Fastrack Revoltt FS1|1.83 Display|BT Calling|Fastcharge|110+ Sports Mode|200+ WatchFaces Smartwatch  (Beige Strap, Free Size)",4.2,214900,16064,3995.0,1099.0,https://www.flipkart.com/fastrack-revoltt-fs1-1-83-display-bt-calling-fastcharge-110-sports-mode-200-watchfaces-smartwatch/p/itm9731ac3f3c67f?pid=SMWGN4YEW7TPQAW5&lid=LSTSMWGN4YEW7TPQAW5TA5MP5&marketplace=FLIPKART&q=smart+watch&store=ajy%2Fbuh&srno=s_1_40&otracker=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&otracker1=AS_QueryStore_HistoryAutoSuggest_1_5_na_na_na&fm=organic&iid=80e5bddf-3f55-487d-8379-0160ef019771.SMWGN4YEW7TPQAW5.SEARCH&ppt=None&ppn=None&ssid=nr6w3c4khc0000001722278774768&qH=acc05e33fb140cc4
