,Name,Rating,Number of ratings,Number of reviews,Actual Price,Current Price,Link
0,"boAt Airdopes 161/163 with ASAP Charge & 40 HRS Playback Bluetooth Headset  (Pebble Black, Active Black, True Wireless)",4.0,974442,65740,2490.0,1099.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
1,"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers, Dual Mics ENx & Beast Mode Bluetooth Headset  (Jet Black, In the Ear)",3.9,269147,16714,3490.0,999.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
2,"Apple AirPods Pro (2nd generation) with MagSafe Case (USB-C) Bluetooth Headset  (White, True Wireless)",4.6,8657,496,24900.0,22500.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
3,"OPPO Enco Buds 2 with 28 hours Battery life & Deep Noise Cancellation Bluetooth Headset  (Midnight, True Wireless)",4.3,326142,30959,3999.0,1799.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
4,"OnePlus Buds 3 TWS, in Ear Earbuds with Sliding Volume Control and 49dB ANC Bluetooth Gaming Headset  (Metallic Gray IN, True Wireless)",4.5,11347,965,6499.0,5499.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
5,"boAt Airdopes Alpha with 35 HRS Playback, 13mm Drivers, Dual Mics ENx & Beast Mode Bluetooth Headset  (Dark Cyan, In the Ear)",3.9,269147,16714,3490.0,999.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
6,"VDTECH NEW VERSION M6 Tws Ecouteur Headsets Earphones Wireless Earbuds Bluetooth Headset  (Pink, In the Ear)",3.3,0,0,2889.0,441.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
7,"boAt Airdopes 131 Elite ANC w/ Active Noise Cancellation,60HRS Playback,Chrome Design Bluetooth Headset  (Black, True Wireless)",4.0,1914777,143324,6990.0,1499.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
8,"realme Buds T110 with AI ENC for calls, upto 38 hours of Playback and Fast Charging Bluetooth Headset  (Jazz Blue, True Wireless)",4.2,257655,22495,2999.0,1499.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
9,"OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI Crystal Clear Call Bluetooth Headset  (Deep Grey, True Wireless)",4.3,90235,5781,2299.0,1998.0,https://www.flipkart.com/boat-airdopes-311-pro-w-50-hrs-playback-asap-charge-dual-mics-enx-technology-bluetooth-headset/p/itmdf2c606e0fc42?pid=ACCGZ5TF3PNEAQAD&lid=LSTACCGZ5TF3PNEAQADQP78LF&marketplace=FLIPKART&q=earbuds&store=0pm%2Ffcn%2F821%2Fa7x%2F2si&srno=s_1_40&otracker=search&otracker1=search&fm=organic&iid=8d368795-b094-45fd-8a6f-7de8869fae16.ACCGZ5TF3PNEAQAD.SEARCH&ppt=None&ppn=None&ssid=9i99ipfmjk0000001722281435121&qH=2951f68ff1fee1e0
