,Name,Rating,Number of ratings,Number of reviews,Actual Price,Discount Price
0,"Frontech Ultima Series TRIPLE INBUILT PORTS HDMI, VGA & TYPE C | 24 inch Full HD LED Backlit VA Panel Gaming Monitor (MON-0077)  (Response Time: 2 ms, 100 Hz Refresh Rate)",4.2,368,38,18000.0,7200.0
1,"Frontech - 20 inch HD LED Backlit VA Panel Monitor (MON-0054)  (Adaptive Sync, Response Time: 5 ms, 60 Hz Refresh Rate)",3.8,2400,229,8000.0,3200.0
2,"HP Series 5 27 inch Full HD LED Backlit IPS Panel with On-screen controls, Anti-glare, 300 nits brightness, Eye Ease Technology Monitor (527sf)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.4,0,0,15540.0,13399.0
3,"Acer NITRO 27 inch Full HD IPS Panel with sRGB 99%, HDR10 Support, 2X2W Inbuilt Speakers, Acer Display Widget, Acer VisionCare 2.0, Tilt-able stand Gaming Monitor (VG270 M3)  (Frameless, AMD Free Sync, Response Time: 1 ms, 180 Hz Refresh Rate)",4.4,650,85,15999.0,11390.0
4,"Acer 21.5 inch Full HD LED Backlit VA Panel with ZeroFrame Design, Ergonomic Stand, Acer Vision Care, Flicker Free Monitor (EK220Q)  (AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.4,3031,345,7699.0,5199.0
5,"BenQ GW2490 24 inch Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display Port, Bezel-Less, Eyesafe, VESA MediaSync, Brightness Intelligence, Low Blue Light, Speakers 2Wx2, VESA Wall mountable Monitor (GW2490)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.5,471,45,13990.0,8698.0
6,"Acer 21.5 inch Full HD LED Backlit IPS Panel with 99% sRGB, HDMI & VGA Ports, Eye Care Monitor (EK220Q)  (AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.3,5462,664,7599.0,5599.0
7,"Frontech Ultima Series 32 inch Full HD LED Backlit VA Panel Monitor (MON-0081)  (Frameless, Response Time: 5 ms, 75 Hz Refresh Rate)",3.4,0,0,29999.0,12069.0
8,"Acer 21.5 inch Full HD IPS Panel with Blue Light Shield, Low Dimming, Comfy View, Eco Display, 2X1W Inbuilt Speakers, Wall Mountable Ultra Thin Monitor (SA222Q)  (Frameless, AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.4,1023,126,10000.0,6499.0
9,"Acer HA0 23.8 inch Full HD LED Backlit IPS Panel with EcoDisplay, Mercury Free, Flicker Free, Bluelight Shield, AMD Free Sync Compatible, 2X2W Inbuilt Speakers, Tilt-able Stand Ultra-thin Monitor (HA240Y)  (Frameless, NVIDIA G Sync, Response Time: 1 ms, 120 Hz Refresh Rate)",4.4,10960,1738,8999.0,7498.0
10,"HP 31.5 inch Curved WQHD VA Panel Gaming Monitor (OMEN 32c)  (Response Time: 1 ms, 165 Hz Refresh Rate)",4.4,0,0,44801.0,35199.0
11,"Frontech - 20 inch HD LED Backlit VA Panel Monitor (MON-0074)  (Adaptive Sync, Response Time: 3 ms, 60 Hz Refresh Rate)",3.7,2950,304,8000.0,3200.0
12,"SAMSUNG 24 inch Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat Monitor (LS24C330GAWXXL)  (AMD Free Sync, Response Time: 4 ms, 100 Hz Refresh Rate)",4.5,41,7,16000.0,8199.0
13,"Frontech Ultima Series 24 inch Full HD LED Backlit IPS Panel Monitor (MON-0062-White)  (Adaptive Sync, Response Time: 2 ms, 75 Hz Refresh Rate)",4.2,368,38,16000.0,7099.0
14,"SAMSUNG 22 inch Full HD IPS Panel Monitor (LS22C310EAWXXL)  (Response Time: 5 ms, 75 Hz Refresh Rate)",4.4,15908,1849,11100.0,6499.0
15,"Acer 23.8 inch Full HD IPS Panel with-Visioncare, VGA, HDMI, Ergonomic Stand, Flicker-Free Monitor (EK240Y)  (AMD Free Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.4,3031,345,9499.0,6549.0
16,"Frontech - 17 inch HD LED Backlit VA Panel Monitor (MON-0065)  (Adaptive Sync, Response Time: 5 ms, 60 Hz Refresh Rate)",3.8,2400,229,5000.0,2469.0
17,"HP Series 5 23.8 inch Full HD LED Backlit IPS Panel with On-screen controls, Anti-glare, Built-in Speakers, 300 nits brightness, Eye Ease Technology Monitor (524sa)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.4,0,0,14980.0,12799.0
18,"LG UltraGear 24 inch Full HD IPS Panel with HDR10, NVIDIA G-SYNC Comaptible, Tilt-able Stand, 3-side virtually borderless design Gaming Monitor (24GS60F-BB.ATRKMVN)  (AMD Free Sync, Response Time: 1 ms, 180 Hz Refresh Rate)",4.2,13,4,20000.0,11499.0
19,"SAMSUNG M5 27 inch Full HD VA Panel with Mouse & Keyboard Control, OTT Apps, IoT Hub, Office 365, Workout Tracker, Multiple Ports, Speakers, Remote, Bluetooth Smart Monitor (LS27DM501EWXXL)  (Response Time: 4 ms, 60 Hz Refresh Rate)",4.2,19,2,32300.0,17099.0
20,"Lenovo 23.8 inch Full HD VA Panel 3-Side Near Edgeless with TUV Eye Care Monitor (D24-20/D24-40)  (Response Time: 4 ms, 75 Hz Refresh Rate)",4.3,3758,424,12690.0,6699.0
21,"DELL S Series 24 inch Full HD IPS Panel with 3-Years warranty, 99% sRGB, Low Blue Light technology, HDMI x2, Tilt adjustment, Ultra Thin Bezel Monitor (S2421HNM / S2421HN)  (AMD Free Sync, Response Time: 4 ms, 75 Hz Refresh Rate)",4.5,3702,496,20849.0,9799.0
22,"SAMSUNG 24 inch Full HD LED Backlit IPS Panel with 3-Sided Borderless Display, Game & Free Sync Mode, Eye Saver Mode & Flicker Free Monitor (LS24C310EAWXXL)  (AMD Free Sync, Response Time: 5 ms, 75 Hz Refresh Rate)",4.4,15908,1849,15400.0,7999.0
23,"BenQ GW2790 27 inch Full HD LED Backlit IPS Panel 99% sRGB, Eye-careU, Dual HDMI, Display Port, Bezel-Less, Eyesafe, VESA MediaSync, Brightness Intelligence, Low Blue Light, Speakers 2Wx2, VESA Wall mountable Monitor (GW2790)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.5,471,45,17990.0,11498.0
24,"Acer SA0 23.8 inch Full HD LED Backlit IPS Panel with VGA, HDMI, EcoDisplay, Mercury Free, AMD Free Sync & NVIDIA G-Sync Compatibility, 2X2W Inbuilt Speakers, Tilt-able Stand Ultra-thin Monitor (SA240Y)  (Frameless, Adaptive Sync, Response Time: 1 ms, 120 Hz Refresh Rate)",4.1,20,0,9999.0,7209.0
25,"DELL S Series 27 inch Full HD IPS Panel with 5-Years warranty, 99% sRGB, Low Blue Light technology,HDMI x2, Tilt adjustment, 3-sided Bezel-less Monitor (S2721HNM / S2721HN)  (AMD Free Sync, Response Time: 4 ms, 75 Hz Refresh Rate)",4.4,3430,406,23316.0,12599.0
26,"Frontech - 20 inch HD LED Backlit VA Panel Monitor (MON-0054)  (Adaptive Sync, Response Time: 5 ms, 60 Hz Refresh Rate)",3.8,2400,229,8000.0,3200.0
27,"Frontech Ultima Series TRIPLE INBUILT PORTS HDMI, VGA & TYPE C | 24 inch Full HD LED Backlit VA Panel Gaming Monitor (MON-0077)  (Response Time: 2 ms, 100 Hz Refresh Rate)",4.2,368,38,18000.0,7200.0
28,"DELL SE-Series 27 inch Full HD LED Backlit VA Panel with 5-Years warranty, Brightness: 250 cd/m�,Contrast Ratio 3000:1, HDMI & VGA, Tilt adjustment Monitor (SE2722H)  (AMD Free Sync, Response Time: 4 ms, 75 Hz Refresh Rate)",4.4,3430,406,23989.0,8999.0
29,"DELL 19.5 inch HD with Contrast Ratio 600:1/600:1(Dynamic), 16.7 Million Colours, Colour Gamut 72% Ntsc(Cie 1931), 3-Year Warranty, HDMI & VGA, Tilt adjustment Monitor (D2020H)  (Response Time: 5 ms, 60 Hz Refresh Rate)",4.3,2021,218,12529.0,5799.0
30,"Frontech Ultima Series 32 inch Full HD LED Backlit VA Panel Monitor (MON-0081)  (Frameless, Response Time: 5 ms, 75 Hz Refresh Rate)",3.4,0,0,29999.0,12069.0
31,"HP Series 5 27 inch Full HD LED Backlit IPS Panel with On-screen controls, Anti-glare, 300 nits brightness, Eye Ease Technology Monitor (527sf)  (Response Time: 5 ms, 100 Hz Refresh Rate)",4.4,0,0,15540.0,13399.0
32,"SAMSUNG 27 inch Full HD IPS Panel Flicker-Free, HDMI, Display Port, Bezel-less Design Flat Monitor (LS27C330GAWXXL)  (AMD Free Sync, Response Time: 4 ms, 100 Hz Refresh Rate)",4.5,41,7,18100.0,11699.0
33,"SAMSUNG Odyssey G3 27 inch Full HD VA Panel with Height Adjustable Stand, 3-Sided Borderless Display, Eye-Saver Mode Flat Gaming Monitor (LS27AG320NWXXL/LS27AG322NWXXL)  (AMD Free Sync, Response Time: 1 ms, 165 Hz Refresh Rate)",4.5,258,25,24800.0,15199.0
34,"DELL 22 inch Full HD LED Backlit VA Panel with 5-Years warranty, Brightness 250 cd/m�, Contrast Ratio 3000:1, HDMI & VGA, Tilt adjustment Monitor (SE2222H)  (Response Time: 8 ms, 60 Hz Refresh Rate)",4.3,329,28,16999.0,6699.0
35,"MarQ by Flipkart 24 inch Full HD IPS Panel Inbuilt Speakers Monitor (24FHDMEQNNXO)  (Adaptive Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.3,2703,471,17200.0,6999.0
36,"Frontech - 20 inch HD LED Backlit VA Panel Monitor (MON-0074)  (Adaptive Sync, Response Time: 3 ms, 60 Hz Refresh Rate)",3.7,2950,304,8000.0,3200.0
37,"Frontech Ultima Series 24 inch Full HD LED Backlit IPS Panel Monitor (MON-0062-White)  (Adaptive Sync, Response Time: 2 ms, 75 Hz Refresh Rate)",4.2,368,38,16000.0,7099.0
38,"Lenovo 27 inch Full HD VA Panel with TUV Eye Care Monitor (D27-40/D27-30)  (Response Time: 4 ms, 75 Hz Refresh Rate)",4.3,3758,424,14690.0,8699.0
39,"MarQ by Flipkart 22 inch Full HD LED Backlit IPS Panel Monitor (22FHDMEQNNXO)  (Adaptive Sync, Response Time: 1 ms, 100 Hz Refresh Rate)",4.4,22,2,12999.0,5899.0
40,"HP 31.5 inch Curved WQHD VA Panel Gaming Monitor (OMEN 32c)  (Response Time: 1 ms, 165 Hz Refresh Rate)",4.4,0,0,44801.0,35199.0
