,Name,Rating,Number of ratings,Number of reviews,Actual Price,Current Price,Link
0,"OPPO K12x 5G with 45W SUPERVOOC Charger In-The-Box (Breeze Blue, 256 GB)  (8 GB RAM)",4.0,0,0,18999.0,15999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
1,"POCO M6 Pro 5G (Power Black, 128 GB)  (4 GB RAM)",4.2,76203,4981,15999.0,9499.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
2,"REDMI 13C (Starshine Green, 128 GB)  (4 GB RAM)",4.2,31916,1339,11999.0,7699.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
3,"Motorola Edge 50 Fusion (Marshmallow Blue, 256 GB)  (12 GB RAM)",4.5,20952,1455,27999.0,24999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
4,"POCO M6 Pro 5G (Power Black, 128 GB)  (6 GB RAM)",4.2,117030,7204,16999.0,9999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
5,"Motorola G34 5G (Ocean Green, 128 GB)  (8 GB RAM)",4.2,108195,7501,14999.0,11999.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
6,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Terracotta Red)",4.1,106786,6622,1599.0,1390.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
7,"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio  (Cyan)",4.1,106786,6622,1599.0,1340.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
8,"REDMI 13C (Stardust Black, 128 GB)  (4 GB RAM)",4.2,31916,1339,11999.0,7699.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
9,"REDMI 13C (Starfrost White, 128 GB)  (4 GB RAM)",4.2,31916,1339,11999.0,7699.0,https://www.flipkart.com/poco-c65-pastel-blue-128-gb/p/itm1586ff4fb1c2b?pid=MOBGVVTXZESSZY4W&lid=LSTMOBGVVTXZESSZY4WVAOO2Y&marketplace=FLIPKART&q=phone&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=e9b927f8-305d-4eb2-a8f2-174bcc56aa3b.MOBGVVTXZESSZY4W.SEARCH&ppt=None&ppn=None&ssid=7w2dwhlmcw0000001722279026918&qH=f7a42fe7211f98ac
