,Name,Rating,Number of ratings,Number of reviews,Actual Price,Discount Price
0,"GNC Select |24g Protein | Formulated in USA Whey Protein  (1 kg, Unflavoured)",2.3,7,1,3198.0,1899.0
1,"Nakpro Platinum Whey Protein Isolate Supplement Powder - JAR | 30g Protein, 7g BCAA | Whey Protein  (1 kg, Unflavored)",4.4,21,1,2699.0,2449.0
2,"METTLE Alpha whey protein Whey Protein  (1 kg, Mystic Mango)",4.2,4788,989,1799.0,1079.0
3,"AS-IT-IS Nutrition ATOM Whey Protein 3lbs, 27g protein, Isolate & Concentrate, Choco Hazel Fusion Whey Protein  (1360 g, Choco Hazel Fusion)",4.2,32121,1569,3570.0,1971.0
4,"MUSCLEBLAZE Raw Whey Concentrate 80%, Light & Clean Protein, Easy to Digest Whey Protein  (500 g, Unflavored)",4.2,42006,3180,1349.0,856.0
5,"XLR8 with 24 g 5.4 g BCAA Whey Protein  (4 pounds, Chocolate)",4.2,13920,1193,5200.0,2756.0
6,"Optimum Nutrition (ON) Gold Standard 100% Protein Powder - Primary Source Isolate Whey Protein  (907 g, Double Rich Chocolate)",4.2,104619,8777,3899.0,3099.0
7,"BEST CHOICE NUTRITION GROW BODY CAPSULE FOR WEIGHT GAIN, MUSCLE BUILDING AND MUSCLE MASS GAIN Whey Protein  (60 Capsules, Unflavored)",3.8,8844,1777,699.0,149.0
8,"PROTEINFARM ONE WHEY Whey Protein (2 kg, Coconut Cream) Whey Protein  (2 kg, COCONUT)",3.8,0,0,6499.0,1999.0
9,"AS-IT-IS Nutrition Concentrate 80% - 1kg Whey Protein  (1000 g, Unflavored)",4.2,89452,8682,2322.0,1891.0
10,"GNC Pro Performance 100% Whey Protein Powder- Kesar Pista | 4 lbs Whey Protein  (4 pounds, Kesar Pista)",4.3,4216,173,7499.0,4599.0
11,"DNUTRIXN Beginner's High Whey Protein 40G | Advanced Muscle Building Formula with BCAA+ Whey Protein  (500 g, Chocolate)",4.0,295,11,1299.0,499.0
12,"MUSCLEBLAZE Biozyme Performance, Informed Choice UK & Labdoor USA Certified Whey Protein  (1 kg, Rich Chocolate)",4.4,27786,1177,2949.0,2499.0
13,"QNT Prime Whey, 100% Whey Protein with whey Isolate, 4kg, Kesar Kaju Pista Flavour Whey Protein  (4 kg, Kesar Kaju Pista)",4.3,250,14,13199.0,8340.0
14,"MUSCLEBLAZE Whey Gold 100% Whey Isolate Whey Protein  (1 kg, Mocha Cappuccino)",4.3,17828,1738,4399.0,2977.0
15,"Optimum Nutrition Gold standard 100% Powder1.7 Kg +ON Micronized Creatine(100g, Unflavored) Whey Protein  (1.8 kg, Double Rich Chocolate)",4.2,104619,8777,7298.0,5589.0
16,"GNC AMP Pure Isolate Zero Carb | 25g Protein | 6g BCAA | Vanilla Custard |4lbs Whey Protein  (4 pounds, Vanilla)",4.3,270,10,11999.0,6499.0
17,"METTLE Alpha whey protein Whey Protein  (1 kg, Belgian Chocolate)",4.2,4788,989,1799.0,1079.0
18,"BIGMUSCLES NUTRITION Premium Gold Whey | 25g Protein Per Serving, 0g Sugar,5.5g BCAA Whey Protein  (1 kg, Chocolate Brownie)",4.1,83485,5048,2799.0,1425.0
19,"MUSCLEBLAZE Biozyme Performance, Informed Choice UK & Labdoor USA Certified Whey Protein  (4 kg, Rich Chocolate)",4.4,27786,1177,10399.0,8999.0
20,"RONNIE COLEMAN Pro Antium Whey Protein For Muscle Growth & Recovery | 30 gm Protein | Whey Protein  (2300 g, Double Chocolate Cookies)",4.0,4,0,9299.0,5999.0
21,"METTLE Blaze Whey Protein Whey Protein  (1 kg, Malai Kulfi)",4.2,818,296,2099.0,1259.0
22,"PROTEINFARM PURE Whey Protein Weight Gainers/Mass Gainers Whey Protein Kesar Pista Whey Protein  (2 kg, KESAR PISTA)",3.8,0,0,6999.0,2299.0
23,"AS-IT-IS Nutrition ATOM Whey Protein  (1 kg, Choco Hazel Fusion)",4.2,32121,1569,2958.0,1999.0
24,"GNC Pro Performance 100% Whey (2lbs) & Creatine Monohydrate (100gm) Whey Protein  (2 pounds, 100 g, Chocolate Fudge)",4.3,23,2,4198.0,2224.0
25,"Optimum Nutrition (ON) Performance Powder, 24g Protein, 5g BCAA, Whey Protein Isolate Whey Protein  (1 kg, Chocolate Milkshake)",4.3,2543,98,2415.0,2219.0
26,"QNT Prime Whey, 100% Whey Protein with whey Isolate, 1kg, Irish Chocolate Whey Protein  (1 kg, Irish Chocolate)",4.3,250,14,3799.0,2450.0
27,"METTLE Alpha whey protein Whey Protein  (1 kg, Vanilla Desire)",4.2,4788,989,1799.0,1079.0
28,"MUSCLEBLAZE Fuel One Raw, 24 g Protein, 5.29 BCAA, 4.2 g Glutamic Acid Whey Protein  (750 g, Unflavored)",4.2,4612,250,1649.0,1019.0
29,"Optimum Nutrition (ON) Gold Standard 100% Protein Powder - Primary Source Isolate Whey Protein  (4 kg, Double Rich Chocolate)",4.2,104619,8777,13299.0,11544.0
30,"METTLE Alpha whey protein Whey Protein  (1 kg, Crisp Cookies)",4.2,4788,989,1799.0,1079.0
31,"Fitspire Evika Fit Super Pro Plus Whey Protein 36 gm Protein Zero sugar With Shaker Whey Protein  (2 pounds, Kesar Pista)",5.0,4,3,3499.0,934.0
